phi_j,mu_QI_j,totpop
0.005777,0.96073505,3939295
0.000382,0.956594415,3975252
0.000248,0.952456348,4021775
0.000193,0.948323417,4006755
0.000149,0.944198189,3995783
0.000141,0.940083233,4001318
0.000126,0.935981116,4045532
0.000114,0.931894406,4042379
0.000104,0.927825672,4042838
0.000095,0.92377748,4172171
0.000093,0.919752399,4191919
0.000103,0.915752996,4157962
0.000133,0.91178184,4145953
0.000186,0.907841499,4155315
0.000258,0.903934539,4127305
0.000338,0.90006353,4114560
0.000421,0.896231038,4222691
0.00051,0.892439633,4296575
0.000603,0.888691881,4241226
0.000698,0.88499035,4256608
0.000795,0.881337609,4276745
0.000889,0.877736225,4318304
0.00097,0.874188765,4420763
0.001032,0.870697799,4515308
0.00108,0.867265894,4587515
0.001123,0.863895617,4708854
0.001165,0.860589537,4794326
0.001207,0.857350222,4784135
0.001252,0.854180238,4595406
0.0013,0.851082155,4487739
0.001351,0.848058539,4410631
0.001402,0.84511196,4425408
0.001454,0.842244984,4453718
0.001506,0.839460179,4310977
0.001556,0.836760114,4371478
0.001615,0.834147356,4364947
0.001679,0.831624474,4313987
0.00174,0.829194034,4394351
0.001798,0.826858605,4120468
0.00186,0.824620755,4038244
0.001936,0.822483051,3994423
0.002036,0.820448062,3875738
0.00216,0.818518355,3990700
0.002306,0.816696498,3863455
0.00247,0.81498506,3919057
0.002647,0.813386607,4091579
0.002846,0.811903708,4320583
0.003079,0.81053893,4370964
0.003357,0.809294842,4140010
0.003682,0.808174011,4050722
0.00403,0.807179005,4051078
0.004401,0.806312393,4121394
0.00482,0.805576741,4363205
0.005285,0.804974618,4437426
0.005778,0.804508591,4427991
0.006284,0.804176353,4413266
0.006794,0.803956085,4461346
0.007319,0.803821094,4493573
0.007869,0.803744687,4335891
0.008456,0.803700171,4303880
0.009093,0.803660851,4249921
0.009768,0.803600034,4091662
0.010467,0.803491027,4050159
0.011181,0.803307135,3875907
0.011922,0.803021667,3720053
0.01271,0.802607927,3567978
0.013621,0.802039222,3451069
0.01462,0.801288859,3361747
0.01577,0.800330144,3251249
0.0171,0.799136384,3204338
0.018428,0.797686741,3324662
0.020317,0.795983802,2443843
0.022102,0.794036011,2399286
0.024194,0.791851811,2321473
0.026342,0.789439644,2357801
0.029042,0.786807954,2039236
0.032001,0.783965185,1847158
0.035443,0.780919779,1729114
0.039257,0.777680179,1607240
0.043393,0.774254829,1518513
0.048163,0.770652173,1378494
0.053216,0.766880652,1293831
0.05924,0.762948711,1216640
0.066564,0.758864792,1068110
0.074045,0.754637339,1008215
0.081954,0.750274796,934557
0.090879,0.745785604,861086
0.101938,0.741178207,795912
0.114075,0.736461049,688419
0.127331,0.731642573,615811
0.141733,0.726731222,534502
0.157289,0.721735438,449373
0.173986,0.716663666,382209
0.191788,0.711524349,310956
0.210633,0.706325929,245786
0.230432,0.70107685,191768
0.251066,0.695785555,146593
0.272395,0.690460487,103874
0.294253,0.68511009,71123
0.316456,0.679742806,50465
1,0.674367079,86248
