"" "2.5%" "97.5%" "" "" "2.5%" "97.5%"
"1" 0.0103 0.0096 0.011 0.0058 0.9607 0.8192 1
"2" 0.0104 0.0097 0.0111 4e-04 0.9566 0.8191 1
"3" 0.0105 0.0098 0.0113 2e-04 0.9525 0.8192 1
"4" 0.0105 0.0098 0.0112 2e-04 0.9483 0.8192 1
"5" 0.0105 0.0097 0.0112 1e-04 0.9442 0.8192 1
"6" 0.0105 0.0097 0.0112 1e-04 0.9401 0.8193 1
"7" 0.0113 0.0106 0.0121 1e-04 0.936 0.8193 1
"8" 0.0113 0.0106 0.0121 1e-04 0.9319 0.8193 1
"9" 0.0113 0.0106 0.0121 1e-04 0.9278 0.8192 1
"10" 0.0117 0.0109 0.0124 1e-04 0.9238 0.8192 1
"11" 0.0117 0.011 0.0125 1e-04 0.9198 0.8191 1
"12" 0.0116 0.0109 0.0124 1e-04 0.9158 0.8192 1
"13" 0.0139 0.0131 0.0147 1e-04 0.9118 0.8191 1
"14" 0.0139 0.0131 0.0148 2e-04 0.9078 0.8191 0.9982
"15" 0.0138 0.013 0.0147 3e-04 0.9039 0.8191 0.9903
"16" 0.0138 0.013 0.0146 3e-04 0.9001 0.8191 0.9824
"17" 0.0142 0.0133 0.015 4e-04 0.8962 0.8191 0.9747
"18" 0.0144 0.0136 0.0153 5e-04 0.8924 0.8191 0.9671
"19" 0.0159 0.0151 0.0167 6e-04 0.8887 0.819 0.9595
"20" 0.016 0.0152 0.0168 7e-04 0.885 0.819 0.952
"21" 0.0161 0.0153 0.0169 8e-04 0.8813 0.8189 0.9446
"22" 0.0162 0.0154 0.017 9e-04 0.8777 0.8188 0.9375
"23" 0.0166 0.0158 0.0174 0.001 0.8742 0.8188 0.9304
"24" 0.017 0.0161 0.0178 0.001 0.8707 0.8187 0.9235
"25" 0.0172 0.0164 0.0181 0.0011 0.8673 0.8185 0.9167
"26" 0.0165 0.0158 0.0172 0.0011 0.8639 0.8184 0.91
"27" 0.0168 0.0161 0.0175 0.0012 0.8606 0.8181 0.9035
"28" 0.0167 0.016 0.0174 0.0012 0.8574 0.8179 0.8971
"29" 0.0161 0.0154 0.0167 0.0013 0.8542 0.8176 0.8909
"30" 0.0157 0.015 0.0164 0.0013 0.8511 0.8174 0.8849
"31" 0.0154 0.0148 0.0161 0.0014 0.8481 0.8171 0.879
"32" 0.0155 0.0148 0.0161 0.0014 0.8451 0.8169 0.8733
"33" 0.0156 0.0149 0.0162 0.0015 0.8422 0.8165 0.8678
"34" 0.0151 0.0145 0.0157 0.0015 0.8395 0.8161 0.8626
"35" 0.0153 0.0147 0.0159 0.0016 0.8368 0.8157 0.8576
"36" 0.0146 0.0139 0.0152 0.0016 0.8341 0.8153 0.8527
"37" 0.0144 0.0138 0.0151 0.0017 0.8316 0.8147 0.8481
"38" 0.0147 0.014 0.0154 0.0017 0.8292 0.8141 0.8439
"39" 0.0138 0.0131 0.0144 0.0018 0.8269 0.8135 0.8399
"40" 0.0135 0.0129 0.0141 0.0019 0.8246 0.8127 0.8362
"41" 0.0133 0.0127 0.014 0.0019 0.8225 0.8118 0.8329
"42" 0.0129 0.0124 0.0135 0.002 0.8204 0.8107 0.8299
"43" 0.0133 0.0127 0.0139 0.0022 0.8185 0.8095 0.8273
"44" 0.0129 0.0123 0.0135 0.0023 0.8167 0.8081 0.8251
"45" 0.0131 0.0125 0.0137 0.0025 0.815 0.8066 0.8232
"46" 0.0171 0.0165 0.0178 0.0026 0.8134 0.805 0.8215
"47" 0.0181 0.0174 0.0188 0.0028 0.8119 0.8034 0.8202
"48" 0.0183 0.0176 0.019 0.0031 0.8105 0.8018 0.819
"49" 0.0173 0.0167 0.018 0.0034 0.8093 0.8004 0.818
"50" 0.017 0.0163 0.0176 0.0037 0.8082 0.7991 0.817
"51" 0.017 0.0163 0.0176 0.004 0.8072 0.7979 0.8162
"52" 0.0173 0.0166 0.0179 0.0044 0.8063 0.797 0.8155
"53" 0.0183 0.0176 0.019 0.0048 0.8056 0.7962 0.8148
"54" 0.0186 0.0179 0.0193 0.0053 0.805 0.7957 0.8141
"55" 0.0185 0.0178 0.0193 0.0058 0.8045 0.7954 0.8135
"56" 0.0207 0.0199 0.0214 0.0063 0.8042 0.7953 0.813
"57" 0.0209 0.0201 0.0217 0.0068 0.804 0.7954 0.8125
"58" 0.021 0.0203 0.0218 0.0073 0.8038 0.7956 0.8121
"59" 0.0203 0.0196 0.021 0.0079 0.8037 0.7958 0.8117
"60" 0.0202 0.0194 0.0209 0.0085 0.8037 0.796 0.8115
"61" 0.0199 0.0192 0.0206 0.0091 0.8037 0.7962 0.8113
"62" 0.0192 0.0185 0.0199 0.0098 0.8036 0.7963 0.8111
"63" 0.019 0.0183 0.0197 0.0105 0.8035 0.7962 0.8109
"64" 0.0182 0.0175 0.0188 0.0112 0.8033 0.7959 0.8108
"65" 0.0174 0.0168 0.0181 0.0119 0.803 0.7954 0.8107
"66" 0 0 0 0.0127 0.8026 0.7949 0.8105
"67" 0 0 0 0.0136 0.802 0.7941 0.8101
"68" 0 0 0 0.0146 0.8013 0.7931 0.8095
"69" 0 0 0 0.0158 0.8003 0.7919 0.8087
"70" 0 0 0 0.0171 0.7991 0.7907 0.8076
"71" 0 0 0 0.0184 0.7977 0.7892 0.8062
"72" 0 0 0 0.0203 0.796 0.7875 0.8045
"73" 0 0 0 0.0221 0.794 0.7857 0.8024
"74" 0 0 0 0.0242 0.7919 0.7836 0.8001
"75" 0 0 0 0.0263 0.7894 0.7813 0.7976
"76" 0 0 0 0.029 0.7868 0.7788 0.7948
"77" 0 0 0 0.032 0.784 0.7759 0.792
"78" 0 0 0 0.0354 0.7809 0.7726 0.7892
"79" 0 0 0 0.0393 0.7777 0.7689 0.7864
"80" 0 0 0 0.0434 0.7743 0.7648 0.7837
"81" 0 0 0 0.0482 0.7707 0.7603 0.781
"82" 0 0 0 0.0532 0.7669 0.7554 0.7784
"83" 0 0 0 0.0592 0.7629 0.7501 0.7758
"84" 0 0 0 0.0666 0.7589 0.7444 0.7733
"85" 0 0 0 0.074 0.7546 0.7384 0.7709
"86" 0 0 0 0.082 0.7503 0.7322 0.7684
"87" 0 0 0 0.0909 0.7458 0.7256 0.766
"88" 0 0 0 0.1019 0.7412 0.7189 0.7635
"89" 0 0 0 0.1141 0.7365 0.712 0.7612
"90" 0 0 0 0.1273 0.7316 0.7048 0.7587
"91" 0 0 0 0.1417 0.7267 0.6975 0.7563
"92" 0 0 0 0.1573 0.7217 0.69 0.7539
"93" 0 0 0 0.174 0.7167 0.6823 0.7514
"94" 0 0 0 0.1918 0.7115 0.6746 0.749
"95" 0 0 0 0.2106 0.7063 0.6667 0.7466
"96" 0 0 0 0.2304 0.7011 0.6588 0.7441
"97" 0 0 0 0.2511 0.6958 0.6506 0.7416
"98" 0 0 0 0.2724 0.6905 0.6425 0.7392
"99" 0 0 0 0.2943 0.6851 0.6344 0.7367
